City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,kaga bandoro,6.9896,19.1874,69.49,96,100,2.71,CF,1686708764
350,oamaru,-45.0784,170.9801,53.11,60,6,11.54,NZ,1686708765
351,santa cruz,-17.8,-63.1667,53.6,40,100,11.65,BO,1686708765
352,calca,-13.3333,-71.95,49.35,87,53,4.72,PE,1686708765
353,horta,38.5333,-28.6333,67.01,95,22,14.0,PT,1686708765
354,sarangani,5.4033,125.4636,81.9,72,77,4.9,PH,1686708766
355,buala,-8.145,159.5921,85.93,71,100,9.73,SB,1686708766
356,nyurba,63.2842,118.3319,58.93,40,100,5.23,RU,1686708766
357,zag,46.9441,99.165,57.76,47,0,1.66,MN,1686708766
358,rongelap,11.1635,166.8941,81.99,82,100,19.71,MH,1686708767
359,naryn,41.4287,75.9911,62.08,57,92,2.93,KG,1686708767
360,kapa'a,22.0752,-159.319,84.18,83,100,14.97,US,1686708767
361,lundazi,-12.2929,33.1782,58.78,63,23,5.86,ZM,1686708768
362,porto da folha,-9.9172,-37.2783,70.56,94,0,2.55,BR,1686708768
363,margate,51.3813,1.3862,59.9,87,55,5.01,GB,1686708210
364,garoua boulai,5.8833,14.55,63.37,97,31,2.59,CM,1686708769
